scientific_name,common_names,image_url,is_invasive,genus,subfamily,family,order,class,phylum,kingdom,watering_level,ppfd_min,ppfd_max,light_requirement,soil_type,growth_pattern,mature_height_cm,toxicity_notes
Trifolium repens,White clover|Dutch clover,https://upload.wikimedia.org/wikipedia/commons/4/4c/Trifolium_repens1.jpg,false,Trifolium,Faboideae,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,medium,300,700,full sun to partial shade,well-drained loam,groundcover/creeping,15,"Non-toxic to humans; leaves/flowers occasionally used in food and herbal teas. Contains trace cyanogenic glycosides and can cause bloat in livestock (especially cattle) if overconsumed in fresh/lush form, not a human-toxicity concern. Naturalized very widely but generally not classified as invasive."
Trifolium pratense,Red clover,https://upload.wikimedia.org/wikipedia/commons/8/85/Rotklee_Illustration.jpg,false,Trifolium,Faboideae,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,medium,300,700,full sun to partial shade,well-drained loam,upright/bushy,60,"Non-toxic to humans; used in herbal teas/supplements (contains phytoestrogens - caution for those on hormone-sensitive conditions or anticoagulants, but not acute toxicity). Can cause bloat/slobbers (from fungal alkaloid contamination) in livestock if overconsumed, not a general human-toxic plant. Naturalized widely but generally not classified as invasive."
Lupinus polyphyllus,Large-leaved lupine|Garden lupine,https://upload.wikimedia.org/wikipedia/commons/2/24/Lupinus_polyphyllus_002.JPG,true,Lupinus,Faboideae,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,medium,,,full sun to partial shade,"well-drained loam, tolerates poor/acidic soils",upright,120,"Seeds and foliage contain quinolizidine alkaloids (e.g. lupinine, sparteine, anagyrine) that are toxic to livestock (teratogenic, causes 'crooked calf disease' in cattle) and to humans if bitter/wild-type seeds are ingested; 'sweet' low-alkaloid cultivars bred for food use are much lower risk but wild/garden-type plants should be considered toxic."
Wisteria sinensis,Chinese wisteria,https://upload.wikimedia.org/wikipedia/commons/9/97/Wisteria_sinensis2.jpg,true,Wisteria,Faboideae,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,medium,,,full sun,well-drained loam,climbing/vining,1500,"All parts toxic if ingested, especially seeds and pods (contain wisterin glycoside and lectins); causes nausea, vomiting, abdominal pain, and diarrhea in humans and animals. Documented invasive species in the southeastern and mid-Atlantic United States, where it smothers native vegetation and topples trees."
Robinia pseudoacacia,Black locust|False acacia,https://upload.wikimedia.org/wikipedia/commons/8/85/Robinia_pseudoacacia0.jpg,true,Robinia,Faboideae,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,low,,,full sun,"well-drained loam, tolerates poor soils",tree,2500,"Bark, leaves, and especially seeds/seed pods contain toxic compounds (robin, a toxalbumin, and glycosides); toxic to horses and livestock (causes colic, weakness, cardiac issues) and to humans if ingested in quantity. Documented invasive species in Europe (widely naturalized and classified invasive in many European countries) despite being native to eastern North America."
Acacia dealbata,Silver wattle|Mimosa,https://upload.wikimedia.org/wikipedia/commons/9/94/Acacia_dealbata_flowers_leaves.jpg,true,Acacia,Mimosoideae,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,low,,,full sun,well-drained sandy loam,tree,1500,"Generally low toxicity to humans; pollen can trigger hay fever/allergic reactions in sensitive individuals. Some documented negative effects on livestock forage quality/health with heavy browsing, but not acutely poisonous. Documented invasive species in South Africa and Portugal (and elsewhere in the Mediterranean basin), where it displaces native vegetation."
Delonix regia,Royal poinciana|Flame tree|Flamboyant,https://upload.wikimedia.org/wikipedia/commons/4/4a/Delonix_regia_Flowers_Kadavoor.jpg,false,Delonix,Caesalpinioideae,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,medium,,,full sun,well-drained sandy loam,tree,1200,Seed pods and seeds can be mildly toxic/irritating if ingested in quantity (reports of GI upset in children and pets); not highly poisonous but caution advised around large fallen pods. Considered naturalized/locally spreading in some tropical regions but not broadly documented as invasive.
Bauhinia variegata,Orchid tree|Mountain ebony,https://upload.wikimedia.org/wikipedia/commons/7/72/Bauhinia_variegata_flowers.jpg,false,Bauhinia,Cercidoideae,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,medium,,,full sun to partial shade,well-drained loam,tree,1000,Generally non-toxic; flowers and buds are eaten as food/vegetable in South Asian cuisine and bark/root used in traditional medicine systems; no significant documented toxicity.
Tamarindus indica,Tamarind,https://upload.wikimedia.org/wikipedia/commons/8/86/Starr_010419-0022_Tamarindus_indica.jpg,false,Tamarindus,Detarioideae,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,low,,,full sun,well-drained sandy loam,tree,2000,Fruit pulp is edible and a major culinary/food crop worldwide; no significant toxicity documented for any commonly used plant part.
Cassia fistula,Golden shower tree|Indian laburnum,https://upload.wikimedia.org/wikipedia/commons/9/94/Cassia_fistula-Kanakambaram.jpg,false,Cassia,Caesalpinioideae,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,low,,,full sun,well-drained sandy loam,tree,1200,"Pod pulp has documented purgative/laxative properties (anthraquinone glycosides) used traditionally as a mild laxative and generally shown low acute toxicity in studies; can cause GI upset (diarrhea, cramping) if consumed in excess. Seeds are considered more concerning than the pulp and are not typically eaten."
Senna alata,Candle bush|Candelabra bush|Ringworm bush,https://upload.wikimedia.org/wikipedia/commons/9/92/Starr_070908-8772_Senna_alata.jpg,true,Senna,Caesalpinioideae,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,medium,,,full sun,well-drained loam,shrub,300,"Leaves have documented laxative/purgative properties (senna genus is a known source of laxative anthraquinones) and can cause GI upset/diarrhea if ingested in quantity; livestock generally avoid it (unpalatable) so poisoning is uncommon. Documented as naturalized and weedy/invasive in many tropical regions (parts of Africa, Pacific islands including Hawaii, tropical Asia)."
Mimosa pudica,Sensitive plant|Touch-me-not,https://upload.wikimedia.org/wikipedia/commons/7/71/Mimosa_pudica01.jpg,true,Mimosa,Mimosoideae,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,medium,,,full sun to partial shade,well-drained sandy loam,groundcover/bushy,50,"Contains mimosine, an amino acid documented to cause toxicity (hair loss, reduced growth, thyroid effects) in livestock at high/sustained doses; low acute risk and animals often adapt/detoxify it in the rumen. Documented as naturalized/weedy in many tropical regions and listed as invasive or noxious in parts of the tropics (e.g. Pacific islands, parts of Asia)."
Erythrina crista-galli,Cockspur coral tree|Ceibo,https://upload.wikimedia.org/wikipedia/commons/3/37/Erythrina_crista-galli2.jpg,false,Erythrina,Faboideae,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,medium,,,full sun,"well-drained loam, tolerates wet soils",tree,800,"Seeds (and to a lesser extent bark/flowers) contain toxic Erythrina alkaloids with curare-like, paralytic effects; documented toxic if ingested, causing nausea, vomiting, and potential nervous system effects; seeds should not be ingested, especially by children or pets."
Gleditsia triacanthos,Honey locust,https://upload.wikimedia.org/wikipedia/commons/8/85/Gleditsia_triacanthos_JPG1a.jpg,true,Gleditsia,Caesalpinioideae,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,low,,,full sun,"well-drained loam, tolerant of poor soils",tree,2000,"Low toxicity concern overall; sweet pulp inside pods is edible in small amounts, seeds are hard and not generally toxic, thorns pose a physical (not toxic) hazard. Documented as an invasive species in parts of Argentina (major woody invader) and reported as invading riparian areas in Spain/parts of Europe."
Cercis siliquastrum,Judas tree,https://upload.wikimedia.org/wikipedia/commons/6/6c/Cercis_siliquastrum2.jpg,false,Cercis,Cercidoideae,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,low,,,full sun,well-drained loam,tree,1000,Generally low toxicity; flowers and young pods are reported as edible in some Mediterranean culinary traditions (eaten raw in salads or pickled); no significant documented toxicity for typical exposure.
