"species","pollinator_name","pollinator_type","source","confidence","notes"
"Foeniculum vulgare","Papilio polyxenes","insect","lepidoptera host-plant references","high","Fennel is larval host plant for black swallowtail butterfly (Papilio polyxenes asterius); documented in North American garden/butterfly guides. Fennel flowers also attract beneficial wasps and parasitoids."
"Foeniculum vulgare","Nasonia vitripennis","insect","parasitoid wasp literature","medium","Parasitoid wasps including Nasonia spp. are attracted to Apiaceae floral nectar/fruit; documented as auxiliary parasitoid attractant in horticultural systems."
"Apium graveolens","Papilio polyxenes","insect","lepidoptera host plant references","high","Celery is larval host plant for black swallowtail butterfly (Papilio polyxenes asterius); documented in North American butterfly/field guides."
"Conium maculatum","Lasioglossum spp.","insect","general wildflower/pollinator references","low","Poison hemlock flowers draw many small Halictid bees for nectar; documented as flowering species in meadow habitats. Not intentionally cultivated."
"Coriandrum sativum","Apis mellifera","insect","herb garden / bee forage references","high","Coriander flowers produce abundant nectar and are visited by honey bees. Flowers particularly attractive when in bloom; used in hedgerow plantings."
"Coriandrum sativum","syrphidae spp.","insect","beneficial insect references","medium","Hoverflies visit coriander flowers widely; noted in hedgerow plantings for beneficial attraction."
"Cuminum cyminum","Apis mellifera","insect","general crop/culinary herb references","medium","Cumin flowers attract bees for nectar; used as honey plant; documented in agricultural/horticultural bee forage references."
"Anethum graveolens","Apis mellifera","insect","herb garden / bee forage references","medium","Dill flowers are well-known honey bee attractants; dill companion planting specifically because of beneficial wasp/bee attraction plus butterfly host plant function."
"Anethum graveolens","Papilio polyxenes","insect","lepidoptera host-plant references","high","Dill is also a documented host plant for black swallowtail (P. polyxenes asterius) larvae; documented in garden lepidoptera guides."
"Pimpinella anisum","Apis mellifera","insect","herb / honey plant references","medium","Anise flowers attract honey bees; cultivated for nectar/honey production in some regions (e.g. Turkey"
"Anethum graveolens","Braconidae spp.","insect","beneficial parasitoid references","medium","General Apiaceae attract parasitoid wasps (Braconidae"
"Thymus vulgaris","Apis mellifera","insect","mediterranean bee forage references","high","Thyme flowers produce nectar visited by honey bees; thyme cultivated in bee-friendly herb garden plantings."
"Lavandula angustifolia","Apis mellifera","insect","mediterranean bee/bumblebee references","high","Lavender is a major honey plant; honey bees widely visit lavender flowers in summer forage; extensively documented commercial bee-attraction value."
"Lavandula angustifolia","Bombus terrestris","insect","bumblebee forage references","medium","Bumblebees visit lavender flowers in managed/temperate plots; recorded in pollinator monitoring programs."
"Ocimum basilicum","Bombus impatiens","insect","bee forage/exclusion netting studies","high","Basil flowers are visited by bumblebees when allowed to bolt; in pest-exclusion studies basil increased beneficial wasp/parasitoid presence via aromatic masking rather than solely floral reward."
"Origanum vulgare","Apis mellifera","insect","herb/mediterranean bee references","high","Oregano flowers attract honey bees; oregano-managed plots evaluated in pollinator habitat plantings."
"Origanum majorana","Apis mellifera","insect","herb references","medium","Marjoram flowers visited by small bees and hoverflies; documented in bee garden trials."
"Melissa officinalis","Bombus impatiens","insect","herb garden / pollinator references","medium","Lemon balm flowers visited by bumblebees; documented in pollinator plant lists."
"Salvia officinalis","Bombus impatiens","insect","herb garden references","medium","Sage flowers produce nectar; bumblebees visit in garden settings; less preferred than lavender but included in bee-herb reference lists."
"Nepeta cataria","Bombus impatiens","insect","herb garden references","medium","Catmint visited by bumblebees; documented in pollinator plant references."
"Monarda didyma","Apis mellifera","insect","native bee/wildflower references","high","Bee balm is a prominent North American native cultivated for pollinator attraction; honey bees readily visit bright-colored Monarda flowers."
"Monarda didyma","Bombus impatiens","insect","pollinator plant trials (native plants)","high","Bumblebee preference for bee balm documented in efficacy trials; frequently recommended in pollinator gardens."
"Monarda didyma","hummingbird","taxon Hemiptera? no — hummingbirds occasionally sip long tubular flowers","medium","Hummingbirds occasionally sip Monarda tubular flowers in eastern North American gardens; pollinate via nectar transfer. Lower confidence vs bee pollination.",""
"Lavandula angustifolia","hummingbird","mammal (technical classification; pollinator role is avifauna)","medium","Occasional hummingbird visits; lavender is primarily bee-pollinated but hummingbirds are incidental visitors in some regions.",""
