scientific_name,common_names,image_url,is_invasive,genus,subfamily,family,order,class,phylum,kingdom,watering_level,ppfd_min,ppfd_max,light_requirement,soil_type,growth_pattern,mature_height_cm,toxicity_notes
Arabidopsis thaliana,Thale cress|Mouse-ear cress,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arabidopsis_thaliana.jpg,false,Arabidopsis,,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,Plantae,medium,,,partial shade to full sun,well-drained loam,upright herbaceous annual,40,"Not consumed; no documented significant toxicity to humans or pets. Model organism, widespread in labs. No known important hazards; generally non-toxic."
Matthiola incana,Stock|Gillyflower|Brompton stock,https://upload.wikimedia.org/wikipedia/commons/8/8f/Matthiola_incana_q1.jpg,false,Matthiola,,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,Plantae,medium,,,full sun,well-drained loam,upright herb/biennial,60,"Generally non-toxic; grown as ornamental. Mild toxicity reported for some pets in some sources, but comprehensive data are sparse. No significant human toxicity documented. Treat as mostly non-toxic, with light caution around pets."
Lobularia maritima,Sweet alyssum,https://upload.wikimedia.org/wikipedia/commons/5/51/Lobularia_maritima_%28Sweet_Alyssum%29.jpg,false,Lobularia,,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,Plantae,medium,,,full sun to partial shade,well-drained loam,mat-forming annual,20,Generally non-toxic; flowers commonly used in borders/containers. ASPCA lists as non-toxic for pets and small causes minimal risk. No significant documented toxicity.
Alyssum montanum,Goldentuft alyssum|Mountain alyssum,https://upload.wikimedia.org/wikipedia/commons/c/c2/Alyssum_montanum_001.jpg,false,Alyssum,,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,Plantae,medium,,,full sun,"well-drained, poor rocky/sandy soils",mat-forming perennial,15,Generally non-toxic; ornamental. No significant documented toxicity to humans or pets. Grows in rocky/alkaline sites; not consumed.
Erysimum cheiri,Wallflower|Common wallflower,https://upload.wikimedia.org/wikipedia/commons/3/35/Erysimum_cheiri1.jpg,false,Erysimum,,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,Plantae,medium,,,full sun,well-drained loam,upright herb/woody-based,60,Generally marginally toxic to cats/dogs (glucosinolate derivatives can cause gastrointestinal irritation). Humans eating ornamental flowers is uncommon; mild risk for pets if consumed. Documented mild toxicity to pets via ASPCA-type listings.
Iberis sempervirens,Candytuft|Evergreen candytuft,https://upload.wikimedia.org/wikipedia/commons/5/54/Iberis_sempervirens.jpg,false,Iberis,,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,Plantae,medium,,,full sun,well-drained loam,subshrub groundcover,20,Generally non-toxic; widely used as groundcover. No significant documented toxicity to humans or pets.
Camelina sativa,Gold-of-pleasure|False flax|Camelina,https://upload.wikimedia.org/wikipedia/commons/f/f1/Camelina_sativa_001.jpg,false,Camelina,,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,Plantae,low,,,full sun,"well-drained, tolerates poor soils",upright herb,80,Seeds are edible and used for Camelina oil; considered non-toxic as a foodstuff. Oil is high in omega-3 and used as culinary/nutritional oil. No significant toxicity documented; cultivated historically as edible oilseed.
Isatis tinctoria,Woad|Dyer's woad,https://upload.wikimedia.org/wikipedia/commons/d/d1/Isatis_tinctoria_001.jpg,false,Isatis,,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,Plantae,medium,,,full sun to partial shade,well-drained loam,upright herb,120,"Historically used as source of blue dye (indigo relative); leaves/roots mildly medicinal. Generally mildly toxic in large herbal doses, but contemporary culinary use is effectively none. Not considered acutely toxic in normal outside horticultural exposure."
Barbarea vulgaris,Winter cress|Yellow rocket|Bittercress,https://upload.wikimedia.org/wikipedia/commons/5/5f/Barbarea_vulgaris_01.jpg,true,Barbarea,,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,Plantae,medium,,,partial shade to full sun,well-drained loam,upright herb,90,"Leaves historically eaten as salad green but is quite bitter; mature plants contain higher glucosinolate levels and can be toxic to livestock in quantity. Documented as mildly toxic to livestock, especially in lush/disrupted populations. Avoid for grazing; human dietary risk is low if only young leaves are used in moderation."
Capsella bursa-pastoris,Shepherd's purse|Pickpocket,https://upload.wikimedia.org/wikipedia/commons/1/19/Capsella_bursa-pastoris1.jpg,false,Capsella,,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,Plantae,medium,,,full sun to partial shade,well-drained loam,upright herb,50,"Generally mildly toxic in large quantities; historically used as potherb in small amounts. Young leaves have been eaten in moderation in some cultures. Not a popular food due to bitterness. Mildly caustic/tannin-rich foliage, more caution with livestock than humans."
