scientific_name,common_names,image_url,is_invasive,genus,subfamily,family,order,class,phylum,kingdom,watering_level,ppfd_min,ppfd_max,light_requirement,soil_type,growth_pattern,mature_height_cm,toxicity_notes
Capsicum baccatum,Aji pepper,https://upload.wikimedia.org/wikipedia/commons/6/6a/Capsicum_baccatum_fruit.jpg,false,Capsicum,,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,medium,400,800,full sun,well-drained loam,shrub,150,"Edible and non-toxic; capsaicin causes irritation on contact or ingestion, not true toxicity."
Physalis peruviana,Cape gooseberry|Goldenberry|Inca berry,https://upload.wikimedia.org/wikipedia/commons/7/7a/Physalis_peruviana_fruit.jpg,true,Physalis,,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,medium,400,800,full sun,well-drained loam,sprawling,100,Ripe fruit is edible and cultivated as a food crop; unripe fruit and foliage contain solanine-like glycoalkaloids and are toxic if ingested.
Physalis philadelphica,Tomatillo|Mexican husk tomato,https://upload.wikimedia.org/wikipedia/commons/9/94/Tomatillos.jpg,false,Physalis,,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,medium,400,800,full sun,well-drained loam,sprawling,100,Ripe fruit (once husk dries/splits) is edible and a culinary staple; unripe green fruit still in tight green husk and foliage contain solanine-like compounds and are toxic if ingested.
Nicotiana tabacum,Tobacco,https://upload.wikimedia.org/wikipedia/commons/9/94/Nicotiana_tabacum_flowers.jpg,true,Nicotiana,,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,medium,400,800,full sun,well-drained loam,upright,200,"Highly toxic; contains nicotine throughout the plant (leaves especially), which can be fatal in concentrated or ingested/absorbed form (e.g., green tobacco sickness from skin contact)."
Petunia hybrida,Petunia,https://upload.wikimedia.org/wikipedia/commons/8/85/Petunia_hybrida.jpg,false,Petunia,,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,medium,400,800,full sun,well-drained loam,sprawling,40,"Not well documented; generally regarded as having low toxicity and not commonly listed as a significant poisoning risk to humans or pets, but comprehensive toxicological data are lacking."
Datura stramonium,Jimsonweed|Thorn apple|Devil's snare,https://upload.wikimedia.org/wikipedia/commons/3/3d/Datura_stramonium1.jpg,true,Datura,,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,low,400,800,full sun,disturbed/well-drained soil,upright,150,"Highly toxic in all parts; contains tropane alkaloids (atropine, scopolamine, hyoscyamine) and can be fatal if ingested."
Brugmansia suaveolens,Angel's trumpet,https://upload.wikimedia.org/wikipedia/commons/6/6b/Brugmansia_suaveolens2.jpg,true,Brugmansia,,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,medium,250,800,partial shade,moist well-drained loam,shrub,300,"Highly toxic in all parts; contains tropane alkaloids, hallucinogenic and dangerous, with risk of severe poisoning or death if ingested."
Cestrum nocturnum,Night-blooming jasmine|Night jessamine|Lady of the night,https://upload.wikimedia.org/wikipedia/commons/2/2b/Cestrum_nocturnum_flowers.jpg,true,Cestrum,,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,medium,250,800,partial shade,well-drained loam,shrub,300,"Toxic berries and leaves; can cause severe illness with fatalities reported, especially in children and pets."
Lycium barbarum,Goji berry|Wolfberry,https://upload.wikimedia.org/wikipedia/commons/1/17/Lycium_barbarum_fruit.jpg,true,Lycium,,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,low,400,800,full sun,well-drained sandy loam,sprawling,250,Ripe berries are a widely consumed food crop and edible; leaves and unripe fruit carry some minor cautions but are generally considered safe as food.
Nicandra physalodes,Shoo-fly plant|Apple of Peru,https://upload.wikimedia.org/wikipedia/commons/1/12/Nicandra_physalodes_flower.jpg,true,Nicandra,,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,medium,400,800,full sun,well-drained disturbed soil,upright,100,"Foliage and stems are reported toxic to mammals (typical Solanaceae alkaloids), though toxicity is debated and parts have been eaten/used medicinally after processing in some regions; unlikely to be dangerous except in large quantities."
Solanum dulcamara,Bittersweet nightshade|Woody nightshade|Bitter nightshade,https://upload.wikimedia.org/wikipedia/commons/7/76/Solanum_dulcamara_fruit.jpg,true,Solanum,,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,medium,250,800,partial shade,moist well-drained soil,vining,200,"Toxic in all parts, especially unripe berries; contains solanine and related glycoalkaloids, can cause nausea, vomiting, and diarrhea if ingested."
Withania somnifera,Ashwagandha|Indian ginseng|Winter cherry,https://upload.wikimedia.org/wikipedia/commons/3/3a/Withania_somnifera_fruit.jpg,true,Withania,,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,low,400,800,full sun,well-drained sandy loam,shrub,150,"Root used medicinally in Ayurveda; generally regarded as safe at typical doses but has cautions (e.g., pregnancy, thyroid conditions, potential liver effects) -- not a straightforward toxicity case, best described as used medicinally with some contraindications."
Nierembergia hippomanica,Cup flower|Dwarf cupflower,,false,Nierembergia,,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,medium,400,800,full sun,well-drained loam,rosette,20,"Not well documented for humans/pets; one variety (var. violacea) has been implicated in field neurotoxicity outbreaks in calves in South Africa and is suspected toxic to horses and poultry, so livestock caution is warranted."
Schwenckia americana,Schwenckia,,true,Schwenckia,,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,low,400,800,full sun,disturbed rocky/open soil,herbaceous,90,"Not well documented for humans/pets specifically; the whole plant is reportedly pounded and used as a fish poison in traditional use, and most Solanaceae contain alkaloids, suggesting some toxic potential, but formal toxicology data are lacking."
