scientific_name,common_names,image_url,is_invasive,genus,subfamily,family,order,class,phylum,kingdom,watering_level,ppfd_min,ppfd_max,light_requirement,soil_type,growth_pattern,mature_height_cm,toxicity_notes
Cereus repandus,Peruvian apple cactus,,false,Cereus,,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,low,400,1000,full sun,sandy well-draining cactus mix,columnar,700,generally non-toxic; mechanical injury from spines; some (e.g. Opuntia glochids) cause skin/mucous membrane irritation
Cereus hildmannianus,hedge cactus,,false,Cereus,,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,low,400,1000,full sun,sandy well-draining cactus mix,columnar,500,generally non-toxic; mechanical injury from spines; some (e.g. Opuntia glochids) cause skin/mucous membrane irritation
Carnegiea gigantea,saguaro,https://upload.wikimedia.org/wikipedia/commons/2/2d/Saguaro_national_park.jpg,false,Carnegiea,,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,low,400,1000,full sun,"sandy well-draining cactus mix, desert soil",columnar/treelike,1500,generally non-toxic; mechanical injury from spines; some (e.g. Opuntia glochids) cause skin/mucous membrane irritation
Epiphyllum oxypetalum,queen of the night|Dutchman's pipe cactus,https://upload.wikimedia.org/wikipedia/commons/6/6a/Epiphyllum_oxypetalum2.jpg,false,Epiphyllum,,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,medium,150,400,"bright indirect (epiphytic, shade-tolerant)","well-draining epiphytic mix (bark, perlite)",trailing/epiphytic,300,generally non-toxic; mechanical injury from spines; some (e.g. Opuntia glochids) cause skin/mucous membrane irritation
Schlumbergera truncata,Christmas cactus|Thanksgiving cactus,https://upload.wikimedia.org/wikipedia/commons/7/7a/Schlumbergera_truncata_%28orange%29.jpg,false,Schlumbergera,,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,medium,150,400,bright indirect,well-draining epiphytic mix,trailing/epiphytic segmented,30,generally non-toxic; mechanical injury from spines; some (e.g. Opuntia glochids) cause skin/mucous membrane irritation
Rhipsalis baccifera,mistletoe cactus,,false,Rhipsalis,,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,medium,100,350,bright indirect (shade-tolerant epiphyte),well-draining epiphytic mix,trailing/epiphytic,100,generally non-toxic; mechanical injury from spines; some (e.g. Opuntia glochids) cause skin/mucous membrane irritation
Selenicereus grandiflorus,queen of the night (night-blooming cereus),,false,Selenicereus,,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,medium,250,700,bright indirect to full sun,well-draining cactus/epiphytic mix,climbing/sprawling,300,generally non-toxic; mechanical injury from spines; some (e.g. Opuntia glochids) cause skin/mucous membrane irritation
Selenicereus undatus,dragon fruit|pitaya,https://upload.wikimedia.org/wikipedia/commons/6/6e/Hylocereus_undatus_%28dragon_fruit%29.jpg,true,Selenicereus,,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,medium,300,900,full sun to bright indirect,well-draining cactus mix,climbing (needs support),600,generally non-toxic; mechanical injury from spines; some (e.g. Opuntia glochids) cause skin/mucous membrane irritation
Echinopsis pachanoi,San Pedro cactus,,false,Echinopsis,,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,low,400,1000,full sun,sandy well-draining cactus mix,columnar,600,contains mescaline; psychoactive/toxic if ingested by humans and pets
Echinopsis oxygona,Easter lily cactus,,false,Echinopsis,,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,low,350,900,full sun to bright indirect,sandy well-draining cactus mix,globular clustering,30,generally non-toxic; mechanical injury from spines; some (e.g. Opuntia glochids) cause skin/mucous membrane irritation
Lophophora williamsii,peyote,https://upload.wikimedia.org/wikipedia/commons/3/3f/Lophophora_williamsii_ZOO.jpg,false,Lophophora,,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,low,350,900,full sun to bright indirect,"sandy well-draining cactus mix, low nutrient",globular,7,contains mescaline; psychoactive/toxic if ingested by humans and pets; legally restricted in many jurisdictions
Cleistocactus strausii,silver torch cactus,,false,Cleistocactus,,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,low,400,1000,full sun,sandy well-draining cactus mix,columnar,300,generally non-toxic; mechanical injury from spines; some (e.g. Opuntia glochids) cause skin/mucous membrane irritation
Parodia magnifica,balloon cactus (syn. Notocactus magnificus),,false,Parodia,,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,low,350,900,full sun to bright indirect,sandy well-draining cactus mix,globular,30,generally non-toxic; mechanical injury from spines; some (e.g. Opuntia glochids) cause skin/mucous membrane irritation
Rebutia minuscula,red crown cactus,,false,Rebutia,,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,low,300,800,bright indirect to full sun,sandy well-draining cactus mix,globular clustering,6,generally non-toxic; mechanical injury from spines; some (e.g. Opuntia glochids) cause skin/mucous membrane irritation
Notocactus ottonis,indian head cactus (syn. Parodia ottonis),,false,Notocactus,,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,low,350,900,full sun to bright indirect,sandy well-draining cactus mix,globular clustering,15,generally non-toxic; mechanical injury from spines; some (e.g. Opuntia glochids) cause skin/mucous membrane irritation
Pereskia aculeata,Barbados gooseberry,,true,Pereskia,,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,medium,250,700,full sun to partial shade,"well-draining soil, more organic than typical cactus mix",climbing/scrambling shrub,900,generally non-toxic; mechanical injury from spines; some (e.g. Opuntia glochids) cause skin/mucous membrane irritation
Trichocereus terscheckii,Argentine saguaro (cardon grande),,false,Trichocereus,,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,low,400,1000,full sun,sandy well-draining cactus mix,columnar/treelike,800,generally non-toxic; mechanical injury from spines; some (e.g. Opuntia glochids) cause skin/mucous membrane irritation
Melocactus intortus,Turk's cap cactus,,false,Melocactus,,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,low,400,1000,full sun,sandy well-draining cactus mix,globular with cephalium,100,generally non-toxic; mechanical injury from spines; some (e.g. Opuntia glochids) cause skin/mucous membrane irritation
Espostoa lanata,Peruvian old man cactus,,false,Espostoa,,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,low,350,900,full sun to bright indirect,sandy well-draining cactus mix,columnar,300,generally non-toxic; mechanical injury from spines; some (e.g. Opuntia glochids) cause skin/mucous membrane irritation
Copiapoa cinerea,copiapoa,,false,Copiapoa,,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,low,400,1000,full sun,"sandy well-draining cactus mix, low water retention",globular clustering,100,generally non-toxic; mechanical injury from spines; some (e.g. Opuntia glochids) cause skin/mucous membrane irritation
